"module_name","is_active","message","status","id","created_date","updated_date","created_by_id","created_by","is_sample"
"contact","false","Site en maintenance","maintenance","6a02204a918a59569160d33f","2026-05-11T18:30:34.205000","2026-05-11T18:30:34.205000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"partenaires","false","Site en maintenance","maintenance","6a02204aab3863439069daca","2026-05-11T18:30:34.161000","2026-05-11T18:30:34.161000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"avant_apres","false","Site en maintenance","maintenance","6a02204a718c382ea0e71f95","2026-05-11T18:30:34.139000","2026-05-11T18:30:34.139000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"espace_client","false","Site en maintenance","maintenance","6a02204a9dca6d7a8f94f8c2","2026-05-11T18:30:34.139000","2026-05-11T18:30:34.139000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"discover","false","Site en maintenance","maintenance","6a02204a1e508a61ba8470e1","2026-05-11T18:30:34.128000","2026-05-11T18:30:34.128000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"services","false","Site en maintenance","maintenance","6a02204a2a09f343763b3115","2026-05-11T18:30:34.125000","2026-05-11T18:30:34.125000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"parrainage","false","Site en maintenance","maintenance","6a02204a74881f5bc953fbcc","2026-05-11T18:30:34.121000","2026-05-11T18:30:34.121000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"blog","false","Site en maintenance","maintenance","6a02204a0fb6697763f98607","2026-05-11T18:30:34.114000","2026-05-11T18:30:34.114000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"homepage","false","Site en maintenance","maintenance","6a02204a9d9e3fd91c26071b","2026-05-11T18:30:34.110000","2026-05-11T18:30:34.110000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"donation","false","Site en maintenance","maintenance","6a02204a233153617be3f147","2026-05-11T18:30:34.106000","2026-05-11T18:30:34.106000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
