"description","label","type","value","key","id","created_date","updated_date","created_by_id","created_by","is_sample"
"","about_photo_url","string","https://base44.app/api/apps/69c5c081406b9e20deaed582/files/mp/public/69c5c081406b9e20deaed582/121477b21_20260603_084210.jpg","about_photo_url","6a3bdbc84953d47aa7eb0cd3","2026-06-24T13:29:44.667000","2026-06-24T13:29:44.667000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","about_headline","string","","about_headline","6a3bd9f6700bc8ef6e6fe153","2026-06-24T13:21:58.820000","2026-06-24T13:28:57.186000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","about_desc","string","","about_desc","6a3bd9f4bec1ab965e462642","2026-06-24T13:21:56.899000","2026-06-24T13:28:57.609000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","hero_cta_primary","string","","hero_cta_primary","6a3b1ba808b9b3d403cebfde","2026-06-23T23:50:00.308000","2026-06-24T13:16:51.785000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","hero_title_2","string","","hero_title_2","6a3b1b5680a0a9cb95bd5246","2026-06-23T23:48:38.813000","2026-06-24T13:16:43.963000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","hero_desc","string","","hero_desc","6a3b1b2708bcf97e25fcd13e","2026-06-23T23:47:51.306000","2026-06-24T13:16:46.350000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","hero_title_1","string","","hero_title_1","6a3b1b177999ac9f003d168e","2026-06-23T23:47:35.148000","2026-06-24T13:16:40.666000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","hero_cta_secondary","string","","hero_cta_secondary","6a3b1ad075df99b5764cedad","2026-06-23T23:46:24.280000","2026-06-24T13:16:54.726000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","hero_badge","string","","hero_badge","6a3b1a8fb10e69d7ceb31da4","2026-06-23T23:45:19.837000","2026-06-24T13:16:37.590000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","hero_image_url","string","","hero_image_url","6a3b192c95d89ef259a81566","2026-06-23T23:39:24.995000","2026-06-24T13:17:00.330000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","services_status_bar_enabled","string","true","services_status_bar_enabled","6a3a94606e389f2b813a8abb","2026-06-23T14:12:48.321000","2026-06-24T13:17:30.391000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","garage_mavic_desc","string","N/A","garage_mavic_desc","6a3799867dddef8205cc943f","2026-06-21T07:57:58.164000","2026-06-21T07:57:58.164000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","garage_mavic_badge","string","N/A","garage_mavic_badge","6a3799857dddef8205cc943e","2026-06-21T07:57:57.785000","2026-06-21T07:57:57.785000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","garage_mavic_tagline","string","N/A","garage_mavic_tagline","6a37998468cc9c68d1d67a2f","2026-06-21T07:57:56.543000","2026-06-21T07:57:56.543000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","garage_mavic_subtitle","string","N/A","garage_mavic_subtitle","6a37998495cbb212e3c72adb","2026-06-21T07:57:56.103000","2026-06-21T07:57:56.103000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","garage_mavic_name","string","N/A","garage_mavic_name","6a379983843b8e7a755ca72d","2026-06-21T07:57:55.682000","2026-06-21T07:57:55.682000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","services_status_message","string","","services_status_message","6a1f3633cdf3cb9202146636","2026-06-02T19:59:47.255000","2026-06-24T13:19:37.563000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","services_status_bar_color","string","green","services_status_bar_color","6a1f36236bf3ebd5b03ff6bc","2026-06-02T19:59:31.579000","2026-06-24T13:19:31.576000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","garage_matrice_badge","string","Officiel","garage_matrice_badge","6a056fd2af7a4d3ab3c28d2c","2026-05-14T06:46:42.162000","2026-05-14T06:46:42.162000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","garage_matrice_subtitle","string","Dji mini 3","garage_matrice_subtitle","6a056fd1ed0685000340b604","2026-05-14T06:46:41.610000","2026-05-14T06:46:41.610000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","garage_fpv_tagline","string","N/A","garage_fpv_tagline","69e3d27af0c5ac174be5f8d8","2026-04-18T18:50:34.822000","2026-06-21T07:57:52.841000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"","garage_fpv_badge","string","N/A","garage_fpv_badge","69e3d27a7a9d24ae9ddeef1a","2026-04-18T18:50:34.788000","2026-06-21T07:57:53.396000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"","garage_fpv_desc","string","N/A","garage_fpv_desc","69e3d2795d15e419f6a64078","2026-04-18T18:50:33.887000","2026-06-21T07:57:54.004000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"","garage_fpv_name","string","N/A","garage_fpv_name","69e3d1b08b1e84901385b557","2026-04-18T18:47:12.135000","2026-06-21T07:57:51.253000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"","garage_fpv_subtitle","string","N/A","garage_fpv_subtitle","69e3d1af1941fbddf793d51a","2026-04-18T18:47:11.727000","2026-06-21T07:57:52.359000","69da89701232f7f14637cd33","sentenacborys0@gmail.com","false"
"","site_offline","string","false","site_offline","69e2a794f76a2b65ad7d271b","2026-04-17T21:35:16.038000","2026-06-24T12:36:46.521000","69dc30ac2d08bb76c02ad541","contact@brenneaerial.fr","false"
"","stat_1_label","string","Pannes déclarer de notre matériel ","stat_1_label","69e267ad1b474e8b6284ebdf","2026-04-17T17:02:37.024000","2026-04-17T17:02:37.024000","69dc30ac2d08bb76c02ad541","contact@brenneaerial.fr","false"
"","page_flash_enabled","string","true","page_flash_enabled","69e2642738d89b92ae55ba36","2026-04-17T16:47:35.765000","2026-05-11T20:20:41.408000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","page_comparateur_enabled","string","true","page_comparateur_enabled","69e26426dcce175fc84962f1","2026-04-17T16:47:34.170000","2026-05-11T20:20:40.803000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","page_simulateur_enabled","string","true","page_simulateur_enabled","69e26426bd1f04aba82f53e3","2026-04-17T16:47:34.044000","2026-05-11T20:20:39.992000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","page_reglementation_enabled","string","true","page_reglementation_enabled","69e26426669f0cd3b283f450","2026-04-17T16:47:34.019000","2026-05-11T20:20:39.734000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
"","page_certification_enabled","string","true","page_certification_enabled","69e26424c95f33dbd01f05d2","2026-04-17T16:47:32.752000","2026-05-11T20:20:35.013000","69c5c081406b9e20deaed583","contact.astuceson@gmail.com","false"
